"SMILES","Binary_Activity"
"O=C1Nc2ccccc2C1=Cc1c[nH]nc1-c1ccccc1[N+](=O)[O-]",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3(F)CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NCC3CCNCC3F)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3F)nc12",1
"O=C(Nc1ccc(F)cc1)c1cnn2c(O)cc(C3CCNCC3)nc12",1
"N#Cc1ccc(Cc2cc(O)n3ncc(C(=O)Nc4ccc(F)cc4)c3n2)cc1",1
"N#Cc1ccc(Cc2cc(O)n3ncc(C(=O)Nc4c[nH]c5ncccc45)c3n2)cc1",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCCc3ccccc3)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ccc(-c3c(F)cccc3F)nc12)c1cnn2ccc(NCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(CCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncc(-c3c(F)cccc3F)cc12)c1cnn2ccc(OCC3CCNCC3)nc12",1
"O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3CCNCC3F)nc12",1
"CN(C)CCNc1ccn2ncc(-c3cn[nH]c3)c2n1",1
"NCCNc1ccn2ncc(-c3ccc(-c4ccccc4)s3)c2n1",1
"NCCNc1ccn2ncc(-c3cc(-c4ccccc4)no3)c2n1",1
"NCCNc1ccn2ncc(-c3cccc(-c4ccco4)c3)c2n1",1
"Cc1nnc(-c2cccc(-c3cnn4ccc(NCCN)nc34)c2)o1",1
"NCCNc1ccn2ncc(-c3cccc(-c4ncc[nH]4)c3)c2n1",1
"NCCNc1ccn2ncc(-c3cccc(OCc4ccccc4)c3)c2n1",1
"CN(C)CCNc1ccn2ncc(-c3ccc(Cl)cc3)c2n1",1
